"Hogar","Factor","Comuna","Personas","Vehículos","BicicletasAdulto","BicicletasNino","IngresoHogar","Hombres","Mujeres","LicenciasdeConducir","PasesEscolares","Trabajadores","Estudiantes","Jubilados","DuenosdeCasa","Desempleados","Otros","Niños","Jovenes","AdultoJovenes","Adultos","AdultoMayores","Discapacidad","ViajesTrabajo","ViajesEstudio","ViajesOtro"
"1","99.780601501465","LA FLORIDA","5","0","0","3","358827","2","3","0","2","2","3","0","1","0","0","0","3","0","2","0","0","2","6","4"
"2","103.13067626953","PUDAHUEL","2","1","2","0","1076800","1","1","2","0","2","0","0","0","0","0","0","0","0","2","0","0","2","0","0"
"3","40.052761077881","PADRE HURTADO","5","0","1","0","201524","2","3","0","1","1","2","0","1","1","0","0","2","1","2","0","0","0","6","6"
"4","52.83247756958","LAS CONDES","1","1","0","0","2435992","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","4","0","0"
"5","49.447814941406","MACUL","4","1","1","1","836299","3","1","2","1","1","3","0","0","0","0","0","2","0","2","0","0","0","6","2"
"6","72.575714111328","MACUL","2","1","1","0","474219","1","1","1","0","1","0","0","1","0","1","0","0","0","1","1","1","0","0","6"
"7","208.74203491211","LA PINTANA","1","0","0","0","150000","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2"
"8","72.030601501465","QUILICURA","5","0","0","0","297994","3","2","0","1","1","3","0","1","0","0","0","2","1","2","0","0","2","6","0"
"9","277.29266357422","SANTIAGO","3","1","3","0","903297","0","3","0","1","2","1","0","0","0","0","0","1","0","2","0","0","4","0","0"
"10","94.521202087402","LAS CONDES","3","1","98","98","897905","1","2","2","0","1","1","0","0","1","0","0","1","0","2","0","0","2","2","2"
"11","48.791923522949","MAIPU","4","1","1","0","582272","2","2","2","0","1","0","1","2","0","0","0","0","0","4","0","0","2","0","2"
"12","83.668434143066","EL BOSQUE","4","1","0","1","381643","2","2","1","1","1","1","0","1","0","1","1","1","0","2","0","0","1","0","0"
"13","47.63932800293","INDEPENDENCIA","2","0","0","0","300000","1","1","0","0","1","0","0","1","0","0","0","0","0","2","0","0","2","0","0"
"14","115.72662353516","SAN BERNARDO","5","1","0","1","334356","2","3","2","1","2","3","0","0","0","0","0","3","0","2","0","0","4","6","4"
"15","124.80800628662","PUENTE ALTO","2","0","0","0","301604","1","1","0","1","0","1","1","0","0","0","0","0","1","0","1","0","0","2","2"
"16","94.29354095459","SAN RAMON","3","0","0","1","141545","1","2","0","0","1","1","0","1","0","0","0","1","0","2","0","0","2","4","4"
"17","68.465751647949","LA PINTANA","4","0","1","0","132406","1","3","2","0","2","1","0","0","0","1","1","1","0","2","0","1","4","2","0"
"18","63.869972229004","SAN BERNARDO","4","1","0","1","442342","1","3","1","0","1","1","0","1","0","1","1","1","0","2","0","0","2","2","0"
"19","47.393466949463","SAN BERNARDO","3","1","0","0","417125","2","1","1","0","1","0","1","1","0","0","0","0","0","2","1","1","2","0","4"
"20","90.425010681152","PUENTE ALTO","2","0","0","0","198717","1","1","0","0","1","0","0","1","0","0","0","0","0","0","2","1","2","0","0"
"21","114.37532043457","PUENTE ALTO","3","0","2","0","406431","2","1","1","1","1","1","0","1","0","0","0","1","0","2","0","0","2","2","2"
"22","145.05847167969","PUENTE ALTO","2","0","0","0","280508","1","1","0","0","0","0","2","0","0","0","0","0","0","0","2","2","0","0","2"
"23","62.803413391113","LA PINTANA","7","1","0","0","690000","3","4","0","1","3","3","0","1","0","0","0","3","0","4","0","0","6","0","2"
"24","144.02819824219","SAN BERNARDO","3","0","0","0","84184","1","2","0","1","0","1","0","0","2","0","0","1","1","1","0","0","0","2","14"
"25","69.880783081055","LAS CONDES","3","1","0","0","1625329","1","2","1","0","1","0","1","1","0","1","0","0","0","1","2","1","0","0","6"
"26","74.812309265137","PADRE HURTADO","4","0","0","0","419800","2","2","0","0","2","1","0","1","0","0","1","0","0","3","0","0","2","2","4"
"27","79.002433776855","ESTACION CENTRAL","2","0","0","0","219613","1","1","0","0","0","0","1","1","0","0","0","0","0","0","2","1","0","0","2"
"28","282.68930053711","QUILICURA","1","0","1","0","350000","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","2"
"29","96.481048583984","LA CISTERNA","2","0","1","0","293061","1","1","0","0","0","0","2","0","0","1","0","0","0","0","2","1","0","0","4"
"30","142.2399597168","PUENTE ALTO","11","0","1","2","1025000","5","6","0","1","4","3","0","1","0","3","4","1","2","4","0","0","6","0","6"
"31","81.193832397461","EL BOSQUE","4","0","0","0","71924","0","4","0","2","0","2","0","2","0","0","0","2","0","2","0","0","0","4","2"
"32","50.939052581787","MAIPU","4","1","1","0","238890","3","1","1","0","1","1","0","1","0","1","1","1","0","2","0","0","1","0","8"
"33","65.736137390137","QUINTA NORMAL","4","0","0","0","700000","3","1","1","1","2","2","0","0","0","0","0","2","0","2","0","0","4","4","0"
"34","75.680160522461","MAIPU","3","1","0","1","283883","0","3","1","1","1","2","0","0","0","0","0","1","1","1","0","0","0","8","2"
"35","133.58743286133","PUENTE ALTO","2","0","0","0","300000","1","1","1","0","1","0","0","1","0","0","0","0","0","2","0","0","0","0","3"
"36","119.00426483154","BUIN","2","0","0","1","205844","1","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","2","0","2"
"37","108.83877563477","SANTIAGO","4","0","2","0","915422","1","3","0","1","3","1","0","0","0","0","0","0","0","4","0","1","4","2","0"
"38","105.65547943115","EL BOSQUE","3","0","0","0","104929","2","1","0","1","0","1","0","1","1","0","0","1","0","2","0","0","0","0","2"
"39","31.736089706421","LA REINA","5","1","1","1","1921997","2","3","4","1","2","1","0","2","0","0","0","0","1","4","0","1","2","2","6"
"40","177.00169372559","CERRO NAVIA","6","0","0","0","840984","2","4","0","1","3","1","1","1","0","0","0","1","0","4","1","2","2","2","2"
"41","127.83610534668","LA PINTANA","2","0","1","0","280000","1","1","0","0","1","0","0","1","0","0","0","0","0","2","0","0","2","0","2"
"42","64.596588134766","MAIPU","3","1","1","1","720000","1","2","2","0","2","0","0","0","1","0","0","0","1","2","0","0","4","0","2"
"43","63.841957092285","LA PINTANA","8","1","3","0","400000","3","5","0","1","2","2","0","2","0","2","2","2","2","2","0","0","4","4","0"
"44","103.99327850342","HUECHURABA","3","1","0","0","900686","2","1","1","1","1","2","0","0","0","0","0","2","0","1","0","0","2","4","0"
"45","55.082019805908","MAIPU","3","1","0","1","1039090","2","1","2","0","2","0","0","1","0","0","0","0","0","3","0","0","4","0","2"
"46","69.352577209473","PUENTE ALTO","4","0","0","0","76540","2","2","0","1","0","1","0","1","2","0","0","0","2","2","0","0","0","1","4"
"47","153.58332824707","PEÑALOLEN","3","0","0","0","326011","1","2","0","1","1","1","0","1","0","0","0","0","0","3","0","0","0","2","2"
"48","265.79092407227","MAIPU","1","0","0","0","208742","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"49","122.90768432617","SAN RAMON","4","0","0","0","852342","2","2","0","0","2","0","2","1","0","1","0","0","0","2","2","0","2","2","2"
"50","330.22445678711","LA FLORIDA","7","0","0","1","509529","3","4","1","1","2","3","0","1","0","1","1","4","0","2","0","0","2","8","2"
"51","166.42538452148","QUILICURA","2","0","1","0","73085","0","2","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","7"
"52","91.342308044434","PUENTE ALTO","3","0","0","0","108160","2","1","1","0","0","0","0","1","1","1","1","0","0","2","0","0","0","0","6"
"53","102.13594055176","LA PINTANA","3","0","0","0","378812","2","1","0","1","2","2","0","0","0","0","0","1","0","2","0","0","3","0","5"
"54","142.55407714844","CONCHALI","3","2","0","0","600000","1","2","1","1","1","1","0","1","0","0","0","1","0","2","0","0","3","2","3"
"55","182.00715637207","LO ESPEJO","3","0","2","0","161824","1","2","0","0","1","1","0","0","1","0","0","1","0","2","0","0","2","0","4"
"56","43.799228668213","TALAGANTE","4","0","0","0","610000","3","1","0","0","2","0","0","1","1","0","0","0","1","3","0","1","4","0","0"
"57","249.60237121582","LA FLORIDA","5","3","1","0","1804588","3","2","4","1","3","1","0","1","0","0","0","1","0","4","0","0","2","1","22"
"58","63.349632263184","INDEPENDENCIA","1","0","0","0","149858","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2"
"59","153.69177246094","PUENTE ALTO","1","0","0","0","433765","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0"
"60","80.10164642334","EL BOSQUE","3","1","0","0","1257445","1","2","2","0","2","1","0","0","0","0","0","0","1","2","0","0","0","2","0"
"61","71.505996704102","LA REINA","2","1","0","0","1306859","0","2","2","0","2","0","0","0","0","0","0","0","0","2","0","0","3","0","4"
"62","136.54911804199","LO PRADO","3","0","0","1","195000","2","1","0","0","1","0","0","1","0","1","1","0","1","1","0","0","1","0","6"
"63","88.621627807617","SAN RAMON","2","0","0","0","328000","1","1","0","0","1","0","1","0","0","1","0","0","0","1","1","1","2","0","2"
"64","75.903953552246","COLINA","3","0","0","0","620000","2","1","2","0","2","0","0","1","0","0","0","0","0","3","0","0","4","0","2"
"65","80.648666381836","LAS CONDES","1","0","0","0","124264","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","2"
"66","126.25543212891","RENCA","4","2","1","0","433126","3","1","2","0","1","2","0","1","0","0","0","2","0","2","0","0","2","4","2"
"67","22.431303024292","COLINA","4","0","0","0","870000","2","2","0","0","2","0","1","1","0","0","0","0","0","3","1","0","0","0","8"
"68","55.222057342529","PUENTE ALTO","5","1","1","0","500000","2","3","1","0","3","1","0","1","1","0","0","1","1","3","0","0","0","0","2"
"69","105.55662536621","PUENTE ALTO","2","1","0","0","180000","1","1","1","0","1","0","0","1","0","0","0","0","0","2","0","1","0","0","0"
"70","99.142768859863","PUENTE ALTO","3","0","0","1","630000","0","3","0","0","1","1","0","1","0","0","1","0","0","1","1","0","0","2","2"
"71","142.3224029541","PUENTE ALTO","6","2","2","3","456816","1","5","1","0","1","0","0","1","0","4","0","1","0","4","1","0","3","0","0"
"72","196.76222229004","ÑUÑOA","5","0","2","0","1279070","3","2","3","2","2","2","1","0","0","0","0","0","2","2","1","1","4","0","0"
"73","35.563571929932","PROVIDENCIA","4","1","0","2","1200000","1","3","1","0","1","3","0","0","0","0","0","2","1","1","0","0","2","6","2"
"74","84.835235595703","PUENTE ALTO","4","0","1","1","113610","2","2","0","1","1","1","0","1","0","1","1","1","0","2","0","0","2","0","0"
"75","63.666675567627","LA REINA","4","1","0","0","943569","2","2","2","0","2","0","0","2","0","2","0","0","0","2","2","0","4","0","4"
"76","524.63659667969","LA REINA","7","0","0","0","2104849","2","5","2","1","4","3","1","4","0","0","1","0","2","3","1","1","6","0","4"
"77","69.44066619873","INDEPENDENCIA","3","0","0","1","538581","2","1","0","0","2","1","0","0","0","0","0","1","0","2","0","0","2","2","2"
"78","122.18825531006","LAS CONDES","1","0","0","0","300000","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","2"
"79","146.83558654785","PEÑALOLEN","3","0","1","0","532828","2","1","1","0","2","0","0","1","0","0","0","0","1","2","0","1","2","0","2"
"80","70.547103881836","MACUL","4","0","1","1","400000","2","2","2","1","1","2","0","1","0","0","0","2","0","2","0","0","2","4","2"
"81","47.697463989258","MAIPU","4","1","0","0","479861","2","2","3","2","1","2","0","1","0","0","0","0","0","4","0","0","2","2","0"
"82","23.856168746948","PIRQUE","2","1","2","0","557867","2","0","1","1","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"83","63.533679962158","PEDRO AGUIRRE CERDA","3","0","0","0","450000","2","1","0","0","2","0","1","1","0","0","0","0","0","2","1","1","3","0","2"
"84","180.46720886231","SANTIAGO","1","0","0","0","305796","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","2","0","0"
"85","98.84496307373","SANTIAGO","1","0","0","0","220073","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0"
"86","45.479991912842","VITACURA","2","2","0","0","864422","1","1","2","0","2","0","0","0","0","0","0","0","0","0","2","0","6","0","0"
"87","70.202270507812","PEÑAFLOR","3","0","2","0","274689","1","2","0","0","1","0","1","0","1","0","0","0","1","1","1","0","2","0","6"
"88","38.794563293457","LA REINA","4","1","3","0","254787","1","3","2","2","1","2","0","1","0","0","0","0","2","2","0","0","1","0","11"
"89","117.57697296143","INDEPENDENCIA","2","1","0","0","349381","1","1","1","0","0","0","2","0","0","1","0","0","0","0","2","0","0","0","4"
"90","65.373390197754","PUDAHUEL","4","0","1","0","280000","1","3","0","0","1","0","0","2","0","2","1","0","1","1","1","0","2","0","4"
"91","103.73506164551","PUDAHUEL","2","0","1","0","500000","1","1","0","0","1","0","1","0","0","0","0","0","0","1","1","0","2","0","2"
"92","69.919242858887","CONCHALI","3","0","0","0","729968","1","2","0","1","2","1","0","0","0","0","0","0","1","2","0","0","4","2","0"
"93","74.310546875","MAIPU","4","0","1","0","820020","2","2","0","0","3","0","0","0","1","0","0","0","0","4","0","0","4","0","4"
"94","36.16972732544","PUENTE ALTO","4","1","0","0","1050000","2","2","2","2","2","1","0","1","0","0","0","0","1","3","0","1","4","0","0"
"95","143.76490783691","RECOLETA","3","0","0","0","296377","1","2","0","0","1","1","0","1","0","0","0","1","0","2","0","0","2","2","0"
"96","85.510330200195","LAS CONDES","1","4","0","0","1902730","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","4","0","2"
"97","192.23626708984","ÑUÑOA","1","0","0","0","305990","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","5"
"98","437.20132446289","LAS CONDES","5","2","2","3","2625632","1","4","4","1","2","2","0","0","0","1","1","0","0","4","0","0","5","4","5"
