"Hogar","Factor","Comuna","Personas","Vehículos","BicicletasAdulto","BicicletasNino","IngresoHogar","Hombres","Mujeres","LicenciasdeConducir","PasesEscolares","Trabajadores","Estudiantes","Jubilados","DuenosdeCasa","Desempleados","Otros","Niños","Jovenes","AdultoJovenes","Adultos","AdultoMayores","Discapacidad","ViajesTrabajo","ViajesEstudio","ViajesOtro"
"1","67.966682434082","PEÑAFLOR","4","1","0","0","686433","2","2","2","0","2","0","1","1","0","0","0","0","0","3","1","0","4","0","8"
"2","119.59719085693","LO BARNECHEA","4","3","3","0","1359515","2","2","3","2","1","2","0","1","0","0","0","0","2","2","0","0","0","4","13"
"3","45.342880249023","ÑUÑOA","4","1","2","0","1436595","1","3","3","2","2","2","0","0","0","0","0","0","1","3","0","0","2","0","4"
"4","90.597007751465","LA FLORIDA","5","1","0","1","291796","2","3","1","1","1","2","0","1","1","0","0","2","1","2","0","0","0","4","6"
"5","137.63040161133","PUDAHUEL","1","0","0","0","380000","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","2"
"6","69.352577209473","PUENTE ALTO","4","0","0","1","410000","1","3","0","0","1","2","0","1","0","0","1","1","0","2","0","0","2","0","2"
"7","110.94100189209","LO BARNECHEA","3","2","3","0","3709650","2","1","2","0","2","1","0","0","0","0","0","1","0","2","0","0","4","2","0"
"8","89.716995239258","MAIPU","2","0","1","0","330000","1","1","0","0","0","0","2","0","0","0","0","0","0","0","2","1","0","0","4"
"9","82.121559143066","LA FLORIDA","5","1","0","0","1228393","3","2","3","0","1","0","1","1","1","1","0","0","0","4","1","0","2","0","2"
"10","49.722984313965","LA FLORIDA","4","0","0","0","240000","0","4","0","1","1","1","0","1","0","1","1","0","2","1","0","1","2","0","2"
"11","214.13798522949","RECOLETA","4","1","0","0","845570","2","2","2","0","2","2","0","0","0","0","0","2","0","2","0","0","2","4","4"
"12","111.06600952148","LAS CONDES","4","1","1","0","85629","0","4","4","4","0","4","0","0","0","0","0","0","4","0","0","0","0","7","4"
"13","100.63374328613","MACUL","4","0","1","0","1591089","2","2","0","0","3","0","0","1","0","1","0","0","0","3","1","0","7","0","5"
"14","85.508651733398","LA FLORIDA","5","0","4","1","647453","2","3","0","2","2","3","0","0","0","0","0","1","2","2","0","0","4","6","0"
"15","167.91796875","LAS CONDES","2","0","0","0","281166","1","1","0","0","0","0","1","0","1","0","0","0","0","2","0","2","0","0","0"
"16","135.57797241211","LAS CONDES","1","0","1","0","256476","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","2","0","0"
"17","87.14973449707","LA CISTERNA","5","1","0","0","1519636","2","3","3","2","2","3","0","0","0","0","0","0","2","3","0","0","6","6","3"
"18","80.14094543457","SAN MIGUEL","4","1","1","1","1541924","1","3","2","2","1","3","0","0","0","0","1","1","0","2","0","0","2","3","18"
"19","100.33834075928","LA REINA","2","0","0","0","793880","1","1","0","0","1","0","0","1","0","0","0","0","0","2","0","0","2","0","2"
